Date,Open,High,Low,Close,Volume
2020-01-02,28.219810186409298,28.787538528442383,28.000291313676442,28.787538528442383,22732710
2020-01-03,28.386347457563964,28.94650657922409,28.3484978380887,28.48475456237793,27380540
2020-01-06,28.42418923315093,28.446897092747943,27.93972948413198,28.06084442138672,24524170
2020-01-07,28.060844661628586,28.189528886517387,27.40985107421875,27.40985107421875,22000990
2020-01-08,27.59152153847278,27.86402854225286,26.96323585510254,26.96323585510254,28578990
2020-01-09,27.091913194616815,27.197889525352316,26.130564874773604,26.42578125,53266180
2020-01-10,26.554478027644205,26.83455595067152,26.168423729956316,26.191131591796875,28073760
2020-01-13,26.50905651653162,26.796703698506736,26.297105376271517,26.539335250854492,32120770
2020-01-14,26.433360474816606,26.539335250854492,26.213838459837536,26.539335250854492,20276630
2020-01-15,26.410651145343024,26.448499166370084,26.03973545708796,26.213838577270508,36033250
2020-01-16,26.418224137866055,26.546909968505076,26.054879273393777,26.266830444335938,25143250
2020-01-17,26.41821713418927,26.721004440978213,26.289532925850008,26.448495864868164,21695190
2020-01-20,26.34252041912346,26.493914077723232,25.858060711604185,25.911048889160156,20154420
2020-01-21,25.744515614638406,26.10029111691213,25.313044075557297,25.358461380004883,29565910
2020-01-22,25.623410493990168,25.789944379811335,25.358471087375502,25.509864807128906,19187850
2020-01-23,25.358462799699556,26.350093325229814,25.282766758654322,26.115432739257812,36385360
2020-01-24,26.198702481949887,26.206271769234316,25.699102522041137,25.918622970581055,16231710
2020-01-27,25.54013536234792,25.80507466754224,25.29033462924139,25.358461380004883,15825810
2020-01-28,25.56283997319383,25.714233606355197,25.207062950034704,25.350887298583984,18903940
2020-01-29,25.502281027970586,25.577978638928858,24.919415935146034,24.957263946533203,22078540
2020-01-30,24.715048510602028,25.32062339782715,24.662060310923614,25.32062339782715,45968780
2020-01-31,24.972412937145336,25.275200311711345,24.6317759496202,24.843727111816406,28005780
2020-02-03,24.979971592331268,25.214632104788375,24.821007097205204,24.904273986816406,19344600
2020-02-04,25.252496550367955,25.328192616969755,24.90429019708207,25.101102828979492,17303330
2020-02-05,25.517426493810394,25.82778311047955,25.252487182617188,25.252487182617188,38271090
2020-02-06,25.509860549903795,25.54014087698597,25.063250342302634,25.19193458557129,29136580
2020-02-07,25.01783127651464,25.850497384854172,24.979983250185906,25.517431259155273,40828700
2020-02-10,25.53256721137963,26.168422246938896,25.49471918893913,25.94890022277832,50615180
2020-02-11,26.61503800792848,26.834558477012084,26.221414385902694,26.546911239624023,105065290
2020-02-12,26.622601816384464,26.857260813155506,26.31224519071182,26.440929412841797,72906020
2020-02-13,26.27438962173745,26.334947075847346,25.888335454740858,26.03215980529785,22312950
2020-02-14,25.941330639032177,26.039736131524997,25.487149610391025,25.593124389648438,34655940
2020-02-17,25.72937704255062,25.72937704255062,25.252486610837696,25.358461380004883,35458500
2020-02-18,25.267621147049045,25.540131282944746,24.957264586978912,25.464433670043945,26345000
2020-02-19,25.509854203819803,26.0548729565769,25.37360070676866,25.827781677246094,21751620
2020-02-20,25.911054973319775,25.941333712149465,25.6082675850229,25.73695182800293,52809570
2020-02-21,24.813446732456292,24.904282938815474,24.563647562014648,24.737749099731445,21451320
2020-02-26,23.541739014702145,23.92022401416755,23.291939836201955,23.503890991210938,38754320
2020-02-27,23.23895390175866,24.47281451604037,23.14054839587436,23.519033432006836,67110450
2020-02-28,23.541736809547885,24.28356657668436,23.314647101687683,24.22300910949707,61673150
2020-03-02,24.181355606651103,24.453993592485773,23.681523006788733,24.143489837646484,56402940
2020-03-03,23.969304351835582,24.21164939736176,23.446751670780248,23.704240798950195,48060100
